Car_Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price
Ford,Focus,2.0,Petrol,1994,185849,2280
Ford,Mondeo,1.8,Diesel,1989,144561,2280
VW,Golf,1.4,Petrol,1997,167911,2281
VW,Golf,1.6,Petrol,1991,126939,2281
Ford,Fiesta,1.2,Petrol,2001,166988,2282
Ford,Focus,1.0,Diesel,2000,197454,2283
VW,Polo,1.2,Petrol,1997,137580,2283
Ford,Focus,1.8,Petrol,1994,179616,2283
Toyota,Prius,1.8,Hybrid,1994,204793,2283
Toyota,RAV4,2.2,Hybrid,1991,211712,2284
Ford,Fiesta,1.0,Hybrid,2001,177642,2284
VW,Golf,1.8,Petrol,2002,220298,2284
Ford,Mondeo,1.6,Diesel,1997,200308,2284
VW,Polo,1.0,Petrol,1999,142783,2284
Ford,Fiesta,1.0,Petrol,1997,122587,2285
Ford,Mondeo,2.0,Diesel,1999,227663,2285
VW,Golf,1.4,Petrol,1993,135112,2286
Toyota,RAV4,2.4,Hybrid,1994,238534,2286
VW,Polo,2.0,Petrol,2001,199440,2286
Ford,Focus,1.0,Petrol,1998,176251,2286
Ford,Mondeo,1.6,Diesel,1987,119838,2286
Toyota,Prius,1.0,Hybrid,1991,146614,2286
Toyota,RAV4,1.8,Hybrid,1991,200239,2287
Toyota,RAV4,1.8,Hybrid,1987,169346,2287
VW,Golf,2.0,Petrol,1995,172931,2287
VW,Polo,1.4,Petrol,1995,130279,2287
VW,Polo,1.4,Diesel,1990,92376,2288
VW,Polo,1.2,Petrol,1996,128899,2288
Toyota,Yaris,1.4,Hybrid,1996,175225,2288
Ford,Fiesta,1.4,Petrol,1996,135352,2288
Toyota,Yaris,1.0,Hybrid,1994,138778,2288
Toyota,Prius,1.4,Hybrid,1992,174736,2288
Toyota,Prius,1.4,Hybrid,1988,142571,2289
VW,Polo,1.6,Petrol,1997,154996,2289
VW,Passat,2.0,Diesel,1995,203838,2289
Ford,Focus,1.8,Petrol,1997,202270,2289
VW,Polo,1.0,Diesel,1999,148562,2289
Ford,Mondeo,1.6,Diesel,1995,184812,2289
Toyota,Prius,1.4,Hybrid,1995,197758,2290
Ford,Fiesta,1.4,Petrol,1995,126806,2290
Toyota,Yaris,1.4,Petrol,1994,136909,2290
Ford,Focus,1.4,Petrol,1993,156430,2290
VW,Golf,1.4,Petrol,1995,151439,2290
Ford,Fiesta,1.4,Petrol,1998,151773,2290
Toyota,RAV4,2.4,Petrol,1990,188062,2290
Toyota,Yaris,1.2,Petrol,1997,152106,2290
VW,Polo,1.2,Diesel,1994,117820,2291
VW,Golf,1.2,Petrol,2002,197187,2291
Ford,Fiesta,1.2,Petrol,1991,80081,2291
Ford,Fiesta,1.0,Petrol,2001,155581,2291
VW,Passat,1.8,Diesel,1992,174630,2291
Porsche,718 Cayman,2.4,Petrol,1995,235416,2292
Toyota,Prius,1.4,Hybrid,1993,182302,2292
Ford,Focus,1.0,Petrol,1999,183739,2292
VW,Polo,1.4,Petrol,1994,121452,2292
Ford,Fiesta,1.2,Petrol,1994,107841,2292
Toyota,Yaris,1.2,Petrol,1993,118344,2293
Toyota,Yaris,1.4,Hybrid,1993,151070,2293
Ford,Focus,1.4,Petrol,1992,148119,2293
BMW,M5,4.0,Petrol,1989,262965,2293
VW,Polo,2.0,Petrol,1994,143951,2293
Toyota,Prius,1.0,Hybrid,1987,112193,2294
Porsche,Cayenne,4.0,Petrol,1986,215869,2294
VW,Passat,1.6,Diesel,1996,198446,2295
Toyota,Yaris,1.2,Petrol,1999,167902,2295
VW,Polo,2.0,Diesel,1993,141601,2295
Toyota,Yaris,1.2,Petrol,1997,151855,2295
Ford,Mondeo,1.6,Diesel,1989,136406,2295
VW,Passat,1.6,Diesel,1995,190850,2295
Toyota,RAV4,2.2,Hybrid,1991,211137,2295
BMW,Z4,2.0,Petrol,1993,188718,2296
Toyota,Yaris,1.2,Hybrid,2000,196776,2296
Toyota,Prius,1.8,Hybrid,1993,196582,2296
VW,Polo,1.6,Petrol,1998,162650,2296
VW,Polo,1.4,Petrol,1991,94298,2297
Ford,Fiesta,1.4,Petrol,2000,167432,2297
Ford,Fiesta,1.2,Diesel,1996,131252,2298
VW,Passat,1.6,Petrol,1990,145292,2298
VW,Golf,2.0,Diesel,1992,154310,2298
Toyota,Yaris,1.2,Petrol,1997,151666,2298
VW,Polo,1.6,Petrol,1999,170414,2299
Ford,Fiesta,1.4,Petrol,1994,117665,2299
Toyota,RAV4,1.8,Hybrid,1995,229464,2299
Ford,Focus,1.0,Petrol,1995,151714,2299
Ford,Mondeo,1.4,Diesel,1992,152663,2299
Toyota,Prius,1.0,Hybrid,1991,145895,2300
VW,Passat,1.4,Diesel,1998,205733,2300
Ford,Focus,1.6,Petrol,1996,187342,2300
Toyota,Prius,1.8,Hybrid,1991,180972,2301
Ford,Focus,1.0,Petrol,1989,100149,2301
Ford,Fiesta,1.0,Petrol,2001,155068,2301
Ford,Mondeo,2.0,Diesel,1994,189351,2301
Ford,Focus,1.8,Diesel,1993,176575,2301
Ford,Mondeo,1.8,Diesel,1995,190931,2302
Ford,Mondeo,1.6,Petrol,1995,178454,2302
VW,Polo,1.0,Petrol,1992,79577,2302
VW,Polo,2.0,Diesel,1999,188922,2303
VW,Golf,1.8,Hybrid,2002,239485,2303
BMW,Z4,2.4,Petrol,1990,175725,2303
Toyota,RAV4,1.8,Hybrid,1989,184136,2303
BMW,M5,4.0,Petrol,1991,276653,2304
Ford,Fiesta,1.0,Petrol,2001,154901,2304
Toyota,RAV4,1.8,Hybrid,1994,221856,2304
Toyota,Yaris,1.2,Petrol,1994,126368,2304
VW,Passat,1.8,Diesel,1992,173964,2304
VW,Passat,1.6,Diesel,1993,174882,2304
VW,Golf,1.2,Petrol,1996,149380,2304
VW,Passat,1.8,Diesel,1998,219540,2305
Toyota,Yaris,1.0,Petrol,1996,131692,2305
Ford,Fiesta,1.4,Petrol,1998,150965,2305
VW,Polo,2.0,Petrol,1998,175397,2305
Ford,Focus,1.6,Diesel,1992,161428,2306
VW,Golf,1.4,Diesel,1996,164502,2306
Toyota,Yaris,1.2,Petrol,2003,198261,2306
Toyota,Prius,1.8,Hybrid,1986,140610,2307
Ford,Fiesta,1.0,Petrol,1997,121330,2307
VW,Polo,1.6,Petrol,1997,153962,2308
VW,Golf,2.0,Diesel,1996,185346,2308
BMW,Z4,2.0,Petrol,1994,195790,2308
VW,Golf,1.8,Hybrid,1993,171410,2308
Ford,Fiesta,1.4,Petrol,2000,166866,2308
VW,Polo,1.0,Petrol,1995,107107,2308
Ford,Focus,1.6,Petrol,1997,194625,2308
Ford,Mondeo,1.4,Diesel,1991,143918,2309
Ford,Mondeo,2.0,Diesel,1995,196608,2309
VW,Golf,2.0,Petrol,1995,171786,2309
VW,Golf,1.6,Petrol,2001,205054,2309
VW,Golf,1.4,Petrol,1993,133849,2309
VW,Golf,1.4,Diesel,1996,164354,2309
Ford,Fiesta,1.2,Petrol,1996,124378,2309
VW,Golf,1.2,Petrol,1999,173111,2309
VW,Polo,1.4,Petrol,1989,74541,2309
Toyota,RAV4,1.8,Hybrid,1995,228983,2309
Ford,Focus,1.0,Petrol,1993,134556,2310
Toyota,Prius,1.8,Hybrid,1991,180517,2310
Toyota,Yaris,1.2,Hybrid,1995,157019,2310
Ford,Fiesta,1.2,Petrol,2002,173404,2310
Toyota,Prius,1.0,Hybrid,1994,169499,2310
BMW,Z4,2.0,Petrol,1993,188021,2310
Toyota,Prius,1.0,Hybrid,2000,215335,2311
Ford,Focus,1.6,Petrol,1993,163324,2311
VW,Polo,2.0,Petrol,2000,190557,2311
BMW,Z4,2.0,Petrol,1998,225535,2311
Ford,Fiesta,1.4,Diesel,1997,148460,2311
Toyota,Yaris,1.0,Petrol,1997,139700,2312
Ford,Fiesta,1.2,Petrol,1997,132733,2312
Toyota,RAV4,1.8,Petrol,1997,223426,2312
Ford,Fiesta,1.2,Petrol,1999,149347,2312
Toyota,Yaris,1.2,Petrol,2000,174853,2312
VW,Polo,1.0,Petrol,1998,132947,2312
VW,Passat,1.8,Diesel,1995,196740,2312
VW,Polo,2.0,Petrol,1992,126132,2312
Toyota,RAV4,1.8,Hybrid,1995,228748,2313
Ford,Focus,1.8,Diesel,1998,214083,2313
Ford,Fiesta,1.2,Petrol,1996,124152,2313
VW,Polo,2.0,Petrol,1997,167123,2313
Ford,Fiesta,1.4,Petrol,1993,107961,2314
Toyota,Yaris,1.2,Petrol,2000,174773,2314
Toyota,Prius,1.0,Hybrid,1993,161333,2314
Toyota,RAV4,1.8,Hybrid,1990,191295,2314
Ford,Focus,2.0,Petrol,1993,176355,2314
VW,Golf,1.2,Diesel,1996,154775,2315
Toyota,Prius,1.8,Hybrid,1991,180280,2315
Ford,Focus,1.4,Diesel,1997,192162,2316
Toyota,Yaris,1.2,Petrol,1995,134205,2316
Ford,Focus,1.4,Petrol,1992,146902,2316
Ford,Focus,1.8,Petrol,1994,177913,2316
Toyota,RAV4,2.0,Hybrid,1985,158168,2317
Ford,Fiesta,1.0,Petrol,1997,120755,2317
VW,Passat,2.0,Petrol,2000,234065,2318
Ford,Focus,2.0,Petrol,1993,176199,2318
Toyota,Prius,1.0,Hybrid,1989,128203,2318
VW,Polo,1.0,Petrol,1999,140889,2319
Toyota,RAV4,2.2,Hybrid,1988,187187,2320
Ford,Focus,1.6,Diesel,1997,199609,2320
Toyota,RAV4,2.2,Petrol,1993,204409,2320
VW,Polo,1.6,Petrol,1995,136861,2321
Ford,Mondeo,1.6,Diesel,1991,151490,2321
VW,Golf,1.6,Petrol,1986,79300,2321
VW,Passat,1.8,Diesel,1994,188579,2322
BMW,X3,3.0,Diesel,1992,213939,2322
Toyota,Yaris,1.4,Petrol,1999,175611,2322
Ford,Mondeo,1.4,Diesel,1995,175366,2322
Ford,Focus,1.4,Diesel,1996,184112,2323
Ford,Focus,1.4,Petrol,1992,146526,2323
VW,Passat,1.8,Diesel,1995,196182,2323
Toyota,Yaris,1.2,Hybrid,1996,164322,2323
Ford,Focus,1.0,Diesel,1992,131629,2323
VW,Polo,2.0,Petrol,1999,182274,2323
Toyota,Yaris,1.2,Petrol,1999,166460,2323
BMW,Z4,3.0,Petrol,1986,156252,2323
Ford,Mondeo,1.6,Diesel,1994,175257,2324
Ford,Mondeo,1.8,Diesel,1991,158502,2324
VW,Passat,1.6,Diesel,1995,189376,2324
VW,Polo,1.2,Petrol,1992,91262,2324
Toyota,Prius,1.0,Hybrid,1990,136309,2324
Ford,Focus,2.0,Petrol,1990,151923,2325
BMW,Z4,2.4,Petrol,1996,220232,2325
Ford,Focus,2.0,Petrol,1995,191296,2325
Toyota,Prius,1.0,Hybrid,1992,152677,2326
Porsche,911,2.6,Petrol,1992,277697,2326
Ford,Focus,1.6,Petrol,1998,201332,2326
VW,Polo,2.0,Petrol,2000,189818,2326
Ford,Focus,1.8,Diesel,1999,220851,2326
Toyota,RAV4,2.2,Hybrid,1992,217116,2326
VW,Golf,1.4,Petrol,1999,181293,2326
VW,Golf,2.0,Diesel,1994,168808,2326
Toyota,Prius,1.8,Hybrid,1991,179718,2326
Ford,Focus,1.4,Diesel,1992,152333,2326
Toyota,RAV4,1.8,Hybrid,1991,198339,2326
Toyota,RAV4,2.2,Hybrid,1994,231798,2327
VW,Golf,1.2,Petrol,2001,187772,2327
VW,Golf,1.4,Petrol,2003,211653,2327
Ford,Fiesta,1.4,Petrol,2000,165911,2327
Toyota,RAV4,2.0,Hybrid,1991,204224,2327
Toyota,Prius,1.8,Hybrid,1993,194978,2328
Ford,Fiesta,1.2,Petrol,2001,164602,2328
Toyota,Yaris,1.4,Petrol,1997,159451,2328
VW,Passat,1.6,Diesel,1997,204379,2328
Toyota,Prius,1.0,Hybrid,1999,207034,2328
VW,Polo,1.0,Petrol,1994,96896,2328
Ford,Fiesta,1.2,Petrol,1996,123281,2329
Toyota,RAV4,1.8,Hybrid,1999,257047,2329
BMW,X3,2.0,Petrol,1992,185033,2329
VW,Passat,1.4,Diesel,1992,157735,2329
VW,Polo,1.6,Petrol,1995,136408,2329
Toyota,RAV4,1.8,Petrol,1997,222605,2329
Ford,Focus,1.0,Petrol,2001,197142,2330
VW,Polo,1.4,Petrol,1995,127882,2330
BMW,Z4,2.2,Petrol,1991,177024,2331
Ford,Mondeo,1.8,Diesel,1991,158143,2331
VW,Passat,1.4,Petrol,1993,159739,2332
VW,Golf,1.2,Petrol,1995,139672,2332
Ford,Mondeo,1.6,Diesel,1990,142695,2332
BMW,Z4,2.0,Petrol,1994,194606,2332
Toyota,RAV4,1.8,Hybrid,1992,205570,2332
Toyota,Yaris,1.2,Hybrid,2000,194977,2332
Toyota,Prius,1.0,Hybrid,1996,183932,2333
Toyota,Prius,1.0,Hybrid,1996,183928,2333
VW,Passat,2.0,Diesel,1991,170824,2334
VW,Passat,1.4,Diesel,1996,188869,2334
BMW,X3,2.0,Diesel,1993,198051,2334
Ford,Focus,1.6,Petrol,1997,193354,2334
Ford,Fiesta,1.4,Petrol,2001,173368,2335
Ford,Mondeo,1.6,Diesel,1995,182490,2335
Toyota,Yaris,1.0,Petrol,1990,75643,2335
Ford,Mondeo,1.6,Diesel,1991,150754,2335
Ford,Fiesta,1.0,Petrol,2005,184794,2336
Ford,Fiesta,1.4,Petrol,2001,173331,2336
Ford,Fiesta,1.4,Hybrid,1995,147167,2336
Ford,Fiesta,1.2,Petrol,2000,156105,2337
Ford,Fiesta,1.2,Diesel,1999,153938,2337
VW,Passat,1.4,Petrol,1996,183071,2337
VW,Passat,1.6,Diesel,1992,165269,2338
Toyota,RAV4,2.4,Hybrid,1992,221370,2338
BMW,M5,4.4,Petrol,1988,258810,2338
Ford,Fiesta,1.2,Petrol,1999,147936,2338
Toyota,RAV4,2.4,Hybrid,1986,175805,2339
VW,Golf,1.6,Petrol,1997,172856,2339
Ford,Mondeo,1.6,Diesel,1997,197620,2339
VW,Golf,1.4,Petrol,1994,140587,2339
Ford,Fiesta,1.2,Petrol,1988,46250,2339
VW,Polo,1.2,Diesel,1990,78278,2339
Toyota,RAV4,2.2,Hybrid,1987,178519,2339
Ford,Mondeo,1.6,Diesel,1990,142328,2339
VW,Polo,1.0,Petrol,1999,139837,2339
Porsche,718 Cayman,4.0,Petrol,1991,231890,2340
VW,Passat,1.6,Diesel,1999,218747,2340
VW,Golf,2.0,Petrol,1995,170237,2340
Porsche,718 Cayman,2.0,Petrol,1993,208214,2340
Toyota,Prius,1.4,Hybrid,1994,187637,2340
Ford,Fiesta,1.0,Petrol,1994,92529,2340
VW,Polo,1.6,Diesel,1995,141846,2341
Ford,Focus,1.8,Diesel,1993,174572,2341
Ford,Mondeo,1.4,Petrol,1996,176487,2341
VW,Polo,1.0,Petrol,1999,139655,2342
VW,Passat,1.8,Diesel,1986,122859,2342
Toyota,RAV4,2.0,Hybrid,1988,180534,2343
Ford,Mondeo,1.6,Diesel,1988,125304,2343
VW,Golf,1.8,Petrol,1993,147656,2343
Ford,Fiesta,1.0,Petrol,1997,119301,2343
VW,Polo,1.6,Petrol,1996,143947,2343
VW,Golf,2.0,Diesel,1992,151943,2343
Ford,Fiesta,1.2,Petrol,2001,163856,2343
Ford,Focus,2.0,Diesel,1991,164850,2344
Porsche,718 Cayman,4.0,Petrol,1994,253481,2344
Porsche,718 Cayman,4.0,Petrol,1992,239005,2344
Ford,Mondeo,2.0,Hybrid,1998,232222,2344
BMW,X3,2.0,Diesel,1987,150479,2344
Toyota,Prius,1.4,Hybrid,1991,163931,2345
Ford,Focus,2.0,Petrol,1994,182626,2345
Toyota,Yaris,1.4,Petrol,1998,166500,2346
Ford,Focus,2.0,Petrol,2000,227728,2346
Toyota,Prius,1.4,Hybrid,1999,224949,2346
VW,Passat,1.4,Petrol,1991,142718,2346
VW,Passat,1.4,Diesel,2003,240424,2347
VW,Polo,2.0,Petrol,1999,181071,2347
Ford,Mondeo,2.0,Petrol,2002,241288,2347
Toyota,Yaris,1.2,Hybrid,2001,201813,2347
BMW,M5,4.0,Petrol,1984,224163,2347
Ford,Mondeo,1.4,Diesel,1995,174091,2347
VW,Polo,2.0,Petrol,2000,188733,2348
VW,Golf,1.4,Petrol,1999,180194,2348
VW,Passat,1.8,Diesel,1994,187281,2348
BMW,M5,5.0,Petrol,1993,300551,2348
Ford,Mondeo,1.8,Diesel,1997,203808,2349
VW,Polo,1.2,Petrol,1991,80185,2350
BMW,Z4,2.4,Petrol,1994,204107,2350
BMW,Z4,2.4,Petrol,1997,226413,2350
Ford,Mondeo,1.6,Diesel,1992,158094,2350
Ford,Fiesta,1.4,Petrol,2000,164644,2351
VW,Passat,1.8,Diesel,1990,155680,2351
Ford,Mondeo,2.0,Diesel,1989,147263,2351
Ford,Fiesta,1.4,Petrol,1997,140296,2351
VW,Polo,1.2,Petrol,1994,107899,2351
Ford,Focus,1.8,Petrol,1991,152237,2352
VW,Polo,1.4,Petrol,1997,143465,2352
VW,Golf,1.8,Petrol,1991,130571,2352
VW,Golf,1.4,Petrol,1999,179978,2352
Toyota,RAV4,2.4,Hybrid,1991,213298,2352
Toyota,RAV4,1.8,Petrol,1993,191460,2352
Porsche,718 Cayman,2.0,Petrol,1994,215105,2352
BMW,X3,2.0,Diesel,1993,197127,2353
VW,Golf,2.0,Diesel,1995,175313,2353
VW,Passat,1.8,Diesel,1992,171441,2354
VW,Passat,2.0,Diesel,1993,185379,2354
VW,Passat,1.4,Diesel,1992,156472,2354
Ford,Focus,1.8,Hybrid,1993,189435,2354
Toyota,Yaris,1.0,Petrol,1995,120418,2354
VW,Passat,1.8,Petrol,1996,196683,2354
Toyota,Yaris,1.0,Hybrid,1999,175630,2354
Porsche,718 Cayman,2.4,Petrol,1997,246989,2355
Ford,Focus,1.4,Petrol,1998,192300,2355
Ford,Mondeo,1.6,Diesel,1998,204418,2355
Ford,Focus,2.0,Petrol,2000,227303,2355
Ford,Fiesta,1.0,Petrol,2003,168204,2356
Ford,Focus,1.8,Petrol,1998,206514,2356
Ford,Mondeo,1.8,Diesel,1989,140503,2356
Ford,Mondeo,1.8,Hybrid,1993,188225,2357
Ford,Fiesta,1.4,Petrol,1994,114382,2357
BMW,X3,2.0,Diesel,1988,157911,2357
BMW,Z4,2.0,Petrol,1992,177983,2357
Toyota,Yaris,1.4,Hybrid,1992,139418,2357
BMW,Z4,2.2,Petrol,2002,257621,2358
Ford,Mondeo,1.4,Petrol,2002,221179,2358
BMW,Z4,2.4,Petrol,1990,172947,2358
VW,Golf,1.6,Diesel,1996,169770,2358
VW,Passat,1.8,Diesel,1991,163326,2358
Ford,Fiesta,1.4,Petrol,2000,164250,2359
VW,Golf,1.8,Petrol,1992,138562,2359
Toyota,Yaris,1.4,Petrol,1993,124653,2359
VW,Polo,1.2,Petrol,1998,141799,2359
VW,Passat,1.8,Diesel,2000,231709,2360
Toyota,Yaris,1.0,Petrol,1996,128710,2360
Ford,Focus,1.0,Petrol,1994,140243,2360
Ford,Mondeo,2.0,Diesel,1991,162938,2360
VW,Golf,1.4,Petrol,2001,194976,2360
BMW,Z4,2.0,Petrol,1999,230568,2361
Ford,Fiesta,1.4,Petrol,1994,114125,2362
VW,Golf,1.8,Diesel,1997,184301,2362
Toyota,Yaris,1.4,Hybrid,1991,130735,2363
Ford,Focus,1.0,Petrol,1994,140081,2363
Toyota,Yaris,1.2,Hybrid,2000,193496,2363
Ford,Focus,1.6,Petrol,1990,136154,2363
Ford,Focus,1.6,Petrol,1996,184200,2364
Ford,Focus,2.0,Petrol,1996,197027,2364
Ford,Mondeo,1.4,Diesel,1998,196395,2364
Toyota,Yaris,1.0,Hybrid,1998,167266,2364
Ford,Fiesta,1.0,Petrol,2002,159765,2365
VW,Polo,1.6,Petrol,1995,134495,2365
VW,Passat,1.8,Diesel,1995,194112,2365
Ford,Fiesta,1.0,Petrol,1996,109297,2365
Toyota,Prius,1.4,Hybrid,1991,162940,2365
Toyota,Yaris,1.4,Hybrid,1999,194497,2366
Ford,Fiesta,1.2,Petrol,1997,129828,2366
Ford,Focus,1.4,Petrol,2000,206911,2366
VW,Passat,2.0,Diesel,1999,229843,2367
Ford,Fiesta,1.4,Petrol,2002,179577,2367
Ford,Mondeo,2.0,Diesel,1990,154598,2367
VW,Golf,1.4,Petrol,1992,122126,2368
BMW,Z4,2.4,Petrol,1988,156563,2368
VW,Passat,1.8,Diesel,1994,186309,2368
VW,Polo,2.0,Petrol,1993,131542,2368
Porsche,Cayenne,2.6,Petrol,1989,210610,2368
Toyota,Yaris,1.4,Hybrid,1995,163264,2368
VW,Golf,1.8,Diesel,1994,160405,2368
VW,Passat,2.0,Diesel,1996,207483,2369
VW,Polo,1.6,Petrol,1997,150810,2369
Toyota,Yaris,1.0,Hybrid,1990,99454,2369
VW,Polo,1.6,Diesel,1991,105875,2370
Ford,Fiesta,1.2,Hybrid,1995,135802,2370
VW,Passat,2.0,Diesel,1991,168950,2371
VW,Polo,1.0,Petrol,2006,193772,2371
VW,Passat,1.6,Diesel,1994,179361,2371
VW,Polo,1.6,Diesel,1992,114664,2371
BMW,Z4,2.4,Petrol,1994,203078,2371
Toyota,Yaris,1.4,Petrol,1997,157181,2372
Toyota,Yaris,1.0,Hybrid,1994,134272,2372
BMW,Z4,2.2,Petrol,1999,235286,2372
Toyota,RAV4,1.8,Petrol,1995,205637,2372
Toyota,Prius,1.4,Hybrid,1990,154471,2373
Ford,Fiesta,1.2,Diesel,2001,168134,2373
VW,Passat,1.6,Diesel,1996,194648,2373
Ford,Fiesta,1.2,Petrol,2001,162325,2373
BMW,Z4,2.0,Petrol,1990,161404,2373
VW,Golf,1.4,Diesel,1998,176861,2373
Toyota,RAV4,2.2,Hybrid,1995,236985,2373
Ford,Fiesta,1.0,Hybrid,1996,132547,2373
Ford,Focus,1.0,Petrol,1999,179699,2373
VW,Polo,1.2,Petrol,1995,115457,2374
VW,Polo,1.2,Petrol,2002,173252,2374
Ford,Focus,1.4,Petrol,1997,183699,2374
Toyota,Prius,1.0,Hybrid,1988,116406,2375
Ford,Focus,1.4,Petrol,1997,183655,2375
BMW,M5,4.0,Petrol,1985,230212,2375
Ford,Focus,1.6,Petrol,1992,152018,2375
VW,Golf,1.4,Petrol,1991,113004,2375
Ford,Fiesta,1.0,Petrol,2002,159285,2375
VW,Polo,1.2,Petrol,1999,149163,2376
Toyota,Prius,1.8,Hybrid,1996,215267,2376
VW,Polo,1.0,Petrol,2000,146139,2376
VW,Golf,1.6,Petrol,1993,138648,2376
Porsche,718 Cayman,2.0,Petrol,1991,191283,2377
VW,Passat,1.6,Diesel,1996,194426,2377
VW,Passat,1.8,Diesel,1997,208668,2377
Ford,Fiesta,1.2,Petrol,2002,170034,2377
Ford,Focus,2.0,Petrol,1993,173221,2377
Ford,Focus,1.8,Petrol,1997,197905,2378
Ford,Mondeo,1.4,Diesel,1992,148495,2378
Ford,Focus,1.8,Petrol,1994,174801,2378
Ford,Focus,1.4,Diesel,1993,157757,2378
Toyota,Yaris,1.0,Hybrid,1993,125433,2378
Ford,Mondeo,1.6,Hybrid,1991,164626,2379
BMW,X3,2.0,Diesel,1994,203428,2379
VW,Golf,1.2,Hybrid,1992,134958,2379
Ford,Fiesta,1.0,Petrol,2002,159020,2380
Ford,Mondeo,1.8,Diesel,1999,217312,2380
Toyota,Yaris,1.2,Hybrid,2001,200274,2380
Toyota,Yaris,1.4,Petrol,1995,140442,2380
VW,Passat,1.4,Petrol,1993,157287,2380
VW,Polo,1.4,Petrol,2001,174196,2380
VW,Polo,1.0,Petrol,1993,84410,2380
BMW,Z4,2.0,Petrol,1991,168961,2380
VW,Passat,2.0,Diesel,1999,229157,2381
VW,Polo,1.6,Petrol,2004,204827,2381
Toyota,Yaris,1.4,Hybrid,1996,170542,2381
VW,Golf,1.8,Petrol,1996,169775,2382
Ford,Mondeo,1.6,Diesel,1991,148335,2382
VW,Golf,1.8,Diesel,1992,143435,2382
VW,Golf,1.2,Petrol,1992,111204,2382
Toyota,Yaris,1.0,Petrol,1997,135906,2383
Ford,Fiesta,1.4,Petrol,1993,104005,2383
VW,Golf,1.4,Diesel,1992,127561,2383
VW,Polo,1.0,Petrol,1996,111721,2383
VW,Polo,1.4,Petrol,1997,141882,2383
VW,Passat,1.6,Diesel,1995,186486,2383
Ford,Mondeo,1.6,Diesel,1995,180072,2384
BMW,M5,5.0,Petrol,1987,256429,2384
VW,Polo,1.4,Petrol,1995,124940,2384
Ford,Mondeo,1.8,Diesel,1994,179184,2384
Ford,Fiesta,1.0,Petrol,2000,142484,2385
VW,Golf,1.8,Diesel,1992,143262,2385
Ford,Fiesta,1.0,Petrol,1994,89871,2385
VW,Golf,1.6,Diesel,1996,168443,2385
Ford,Mondeo,2.0,Petrol,1989,139379,2386
Ford,Fiesta,1.2,Petrol,2002,169595,2386
Ford,Fiesta,1.2,Petrol,1994,102413,2386
Toyota,Yaris,1.2,Petrol,1997,147085,2386
VW,Polo,1.0,Petrol,1996,111556,2386
Ford,Fiesta,1.2,Petrol,2002,169573,2386
VW,Polo,1.6,Diesel,1998,163886,2386
VW,Polo,1.6,Diesel,1993,122429,2388
Toyota,Yaris,1.0,Petrol,1992,91577,2388
VW,Passat,1.4,Diesel,1998,201450,2389
VW,Golf,1.8,Diesel,2001,213307,2389
Ford,Mondeo,1.4,Diesel,1993,156081,2389
VW,Passat,1.4,Diesel,1997,193826,2390
VW,Golf,1.2,Petrol,1996,144894,2390
VW,Golf,1.8,Petrol,1990,119937,2390
VW,Passat,1.6,Diesel,1996,193751,2391
VW,Golf,1.2,Diesel,1997,158934,2391
Ford,Focus,1.8,Petrol,1996,189638,2392
VW,Polo,1.0,Petrol,2002,161551,2392
Toyota,Yaris,1.0,Hybrid,1992,116021,2392
Toyota,Prius,1.8,Hybrid,1993,191879,2392
BMW,M5,4.0,Petrol,1986,236750,2392
VW,Golf,1.6,Petrol,1997,170150,2393
Toyota,Prius,1.8,Hybrid,1994,199447,2393
Ford,Focus,1.0,Petrol,2001,194108,2393
Ford,Focus,2.0,Diesel,1988,137961,2393
BMW,Z4,2.0,Petrol,1993,183921,2394
VW,Passat,1.4,Diesel,1993,162459,2394
VW,Polo,1.4,Diesel,1998,155463,2394
Ford,Mondeo,1.6,Diesel,1996,187325,2394
VW,Passat,1.6,Diesel,1989,137918,2395
VW,Passat,1.4,Diesel,1992,154354,2395
Porsche,718 Cayman,2.4,Petrol,1998,252380,2395
VW,Golf,1.6,Petrol,1995,154077,2395
Ford,Mondeo,1.6,Diesel,1997,194898,2395
VW,Golf,2.0,Petrol,1996,175332,2395
VW,Polo,1.6,Petrol,2000,173472,2395
Ford,Mondeo,1.4,Diesel,1993,155787,2395
Toyota,Prius,1.0,Hybrid,1990,132481,2395
Toyota,Prius,1.4,Hybrid,1995,192574,2396
Toyota,Yaris,1.2,Hybrid,1993,136024,2397
VW,Passat,1.6,Diesel,1994,178091,2397
Toyota,Yaris,1.4,Petrol,2001,187377,2397
VW,Golf,2.0,Petrol,1990,126347,2397
Toyota,RAV4,1.8,Hybrid,1991,194898,2397
Toyota,Prius,1.0,Hybrid,1997,188516,2397
Ford,Mondeo,1.6,Diesel,1992,155612,2398
VW,Passat,2.0,Diesel,1993,183258,2398
Toyota,Prius,1.8,Hybrid,1997,221652,2398
Ford,Mondeo,1.8,Hybrid,1985,121328,2398
Ford,Fiesta,1.2,Petrol,1996,119465,2398
VW,Golf,1.8,Petrol,1990,119470,2398
VW,Passat,1.4,Diesel,1994,170158,2398
Ford,Focus,1.6,Diesel,1989,132028,2398
VW,Passat,1.4,Petrol,1993,156352,2398
VW,Golf,1.2,Petrol,1993,119139,2398
Ford,Mondeo,1.4,Petrol,1989,115918,2398
Toyota,RAV4,2.4,Hybrid,1992,218483,2400
